#year,month,day,lat,lon,frph,instrument
2023,4,5,48.4,125.44,192.5,AHI Himawari-9
2023,4,5,48.4,125.46,17.04,AHI Himawari-9
2023,4,5,48.4,125.48,17.04,AHI Himawari-9
2023,4,5,48.4,125.68,15.99,AHI Himawari-9
2023,4,5,48.4,125.76,12.04,AHI Himawari-9
2023,4,5,48.38,124.2,15.63,AHI Himawari-9
2023,4,5,48.38,124.22,15.63,AHI Himawari-9
2023,4,5,48.38,125.36,25.63,AHI Himawari-9
2023,4,5,48.38,125.38,18.36,AHI Himawari-9
2023,4,5,48.38,125.4,18.36,AHI Himawari-9
2023,4,5,48.38,125.42,31.91,AHI Himawari-9
2023,4,5,48.38,125.7,15.99,AHI Himawari-9
2023,4,5,48.36,125.36,25.63,AHI Himawari-9
2023,4,5,48.36,125.38,25.63,AHI Himawari-9
2023,4,5,48.36,125.4,18.36,AHI Himawari-9
2023,4,5,48.36,125.42,31.91,AHI Himawari-9
2023,4,5,48.36,125.44,31.91,AHI Himawari-9
2023,4,5,48.36,125.66,55.57,AHI Himawari-9
2023,4,5,48.36,125.7,47.31,AHI Himawari-9
2023,4,5,48.36,125.72,131.3,AHI Himawari-9
2023,4,5,48.36,125.74,131.3,AHI Himawari-9
2023,4,5,48.36,125.76,32.74,AHI Himawari-9
2023,4,5,48.36,125.78,36.72,AHI Himawari-9
2023,4,5,48.36,125.84,25.53,AHI Himawari-9
2023,4,5,48.36,125.86,25.53,AHI Himawari-9
2023,4,5,48.34,125.62,32.77,AHI Himawari-9
2023,4,5,48.34,125.64,97.38,AHI Himawari-9
2023,4,5,48.34,125.66,97.38,AHI Himawari-9
2023,4,5,48.34,125.68,120.91,AHI Himawari-9
2023,4,5,48.34,125.7,46.69,AHI Himawari-9
2023,4,5,48.34,125.72,46.69,AHI Himawari-9
2023,4,5,48.34,125.74,131.3,AHI Himawari-9
2023,4,5,48.34,125.76,32.74,AHI Himawari-9
2023,4,5,48.34,125.82,28.85,AHI Himawari-9
2023,4,5,48.34,125.84,25.53,AHI Himawari-9
2023,4,5,48.32,125.54,13.86,AHI Himawari-9
2023,4,5,48.32,125.62,32.87,AHI Himawari-9
2023,4,5,48.32,125.64,97.65,AHI Himawari-9
2023,4,5,48.32,125.66,97.65,AHI Himawari-9
2023,4,5,48.32,125.68,121.28,AHI Himawari-9
2023,4,5,48.32,125.7,46.83,AHI Himawari-9
2023,4,5,48.32,125.72,46.03,AHI Himawari-9
2023,4,5,48.32,125.76,73.75,AHI Himawari-9
2023,4,5,48.32,125.78,73.75,AHI Himawari-9
2023,4,5,48.32,125.8,40.46,AHI Himawari-9
2023,4,5,48.32,125.82,51.74,AHI Himawari-9
2023,4,5,48.32,125.84,51.74,AHI Himawari-9
2023,4,5,48.32,125.88,36.04,AHI Himawari-9
2023,4,5,48.3,125.62,73.1,AHI Himawari-9
2023,4,5,48.3,125.64,73.1,AHI Himawari-9
2023,4,5,48.3,125.66,315.05,AHI Himawari-9
2023,4,5,48.3,125.68,170.91,AHI Himawari-9
2023,4,5,48.3,125.7,170.91,AHI Himawari-9
2023,4,5,48.3,125.72,51.51,AHI Himawari-9
2023,4,5,48.28,125.64,73.1,AHI Himawari-9
2023,4,5,48.28,125.66,315.05,AHI Himawari-9
2023,4,5,48.28,125.68,315.02,AHI Himawari-9
2023,4,5,48.28,125.7,170.91,AHI Himawari-9
2023,4,5,48.28,125.72,51.51,AHI Himawari-9
2023,4,5,48.28,125.74,51.51,AHI Himawari-9
2023,4,5,48.26,123.48,9.57,AHI Himawari-9
2023,4,5,48.26,124.34,19.57,AHI Himawari-9
2023,4,5,48.26,124.36,19.57,AHI Himawari-9
2023,4,5,48.26,124.58,29.3,AHI Himawari-9
2023,4,5,48.26,124.6,29.3,AHI Himawari-9
2023,4,5,48.26,125.64,160.88,AHI Himawari-9
2023,4,5,48.26,125.66,257.2,AHI Himawari-9
2023,4,5,48.26,125.68,257.2,AHI Himawari-9
2023,4,5,48.26,125.7,180.61,AHI Himawari-9
2023,4,5,48.26,125.72,53.72,AHI Himawari-9
2023,4,5,48.26,125.74,53.72,AHI Himawari-9
2023,4,5,48.26,125.98,17.29,AHI Himawari-9
2023,4,5,48.26,126,11.62,AHI Himawari-9
2023,4,5,48.24,124.36,19.57,AHI Himawari-9
2023,4,5,48.24,125.62,25.64,AHI Himawari-9
2023,4,5,48.24,125.64,22.01,AHI Himawari-9
2023,4,5,48.24,125.66,22.01,AHI Himawari-9
2023,4,5,48.22,123.6,6.17,AHI Himawari-9
2023,4,5,48.22,124.38,5.48,AHI Himawari-9
2023,4,5,48.22,124.4,5.48,AHI Himawari-9
2023,4,5,48.22,125.62,25.64,AHI Himawari-9
2023,4,5,48.22,125.64,25.64,AHI Himawari-9
2023,4,5,48.22,125.66,22.01,AHI Himawari-9
2023,4,5,48.22,125.68,18.05,AHI Himawari-9
2023,4,5,48.22,125.94,12.47,AHI Himawari-9
2023,4,5,48.22,125.96,12.47,AHI Himawari-9
2023,4,5,48.22,125.98,13.66,AHI Himawari-9
2023,4,5,48.2,123.52,8.65,AHI Himawari-9
2023,4,5,48.2,123.62,6.17,AHI Himawari-9
2023,4,5,48.2,124.36,17.99,AHI Himawari-9
2023,4,5,48.2,124.38,17.99,AHI Himawari-9
2023,4,5,48.2,125.54,10.33,AHI Himawari-9
2023,4,5,48.2,125.64,35.57,AHI Himawari-9
2023,4,5,48.2,125.96,12.47,AHI Himawari-9
2023,4,5,48.2,126,13.63,AHI Himawari-9
2023,4,5,48.2,126.38,17.85,AHI Himawari-9
2023,4,5,48.2,126.4,54.12,AHI Himawari-9
2023,4,5,48.18,123.62,3.77,AHI Himawari-9
2023,4,5,48.18,123.78,29.19,AHI Himawari-9
2023,4,5,48.18,124.4,15.19,AHI Himawari-9
